Type      AppliesTo  Path                                                       Snap  Hard     Soft  Adv  Grace  Files    With Overhead  W/O Overhead  Over  Enforced  Container  Linked 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data1/pim                 No    10.00G   -     -    -      2        140.50k        8.15k         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept0213            No    50.00G   -     -    -      253      946.22M        556.84M       -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept0415            No    10.00G   -     -    -      329      120.04M        44.47M        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept0474_1998       No    500.00G  -     -    -      257182   449.53G        252.21G       -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept1998            No    8.00T    -     -    -      209158   12.64T         7.86T         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept2051            No    500.00G  -     -    -      79506    211.02G        123.56G       -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept2440TG          No    150.00G  -     -    -      116696   140.30G        78.08G        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept2051_E5         No    500.00G  -     -    -      2336     91.83G         56.95G        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data3/AEKpDrive           No    3.00T    -     -    -      751209   3.88T          2.33T         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept4127            No    10.00G   -     -    -      584      12.38M         2.08M         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept5291            No    2.00T    -     -    -      17792833 8.27T          1.92T         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data3/dept1713            No    5.00G    -     -    -      7        153.00k        8.51k         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data3/dept0215            No    5.00G    -     -    -      2        140.50k        8.14k         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data3/dept4194            No    8.00T    -     -    -      75527    7.77T          4.84T         -     No        No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data3/dept1714            No    5.00G    -     -    -      439      566.31M        300.71M       -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data3/dept489             No    1.00T    -     -    -      6328     1.57T          1003.69G      -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data3/dept5722            No    7.00T    -     -    -      290982   10.82T         6.72T         -     No        No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data3/dept4194_03         No    1000.00G -     -    -      2        5.00k          135.00        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data4/2025extra           No    3.00T    -     -    -      242      139.51G        86.96G        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data4/dept0474            No    9.00T    -     -    -      1259576  13.06T         8.05T         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data4/Allotrope           No    200.00G  -     -    -      41       341.28M        207.34M       -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data4/dept1462            No    1.00T    -     -    -      95775    1.02T          644.25G       -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data4/dept4606            No    1.95T    -     -    -      26458    2.71T          1.69T         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data4/GADS_Reports        No    50.00G   -     -    -      677      125.11M        12.15M        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data5/GADS_Fallback       No    1.00G    -     -    -      13       61.33M         36.62M        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept5292            No    700.00G  -     -    -      2228     969.22M        486.33M       -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/dept5293            No    1.00T    -     -    -      19       32.86G         20.49G        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/DIB-all             No    100.00G  -     -    -      7260     46.34G         28.13G        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/GtBC                No    50.00G   -     -    -      22604    54.65G         32.06G        -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/Nugenesis2          No    12.00T   -     -    -      3683725  30.32T         18.50T        6.50T Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/IsletFgAll          No    20.00G   -     -    -      1        2.50k          53.00         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/projPitfall         No    10.00G   -     -    -      130      13.47M         1.87M         -     Yes       No         -      
directory DEFAULT    /ifs/nngri/RDL/RawDataFileshares/data2/nugenesisDRU        No    1.00G    -     -    -      6        286.00k        16.44k        -     Yes       No         -      
